asema	pvm	paiva	kk	vuosi	kokosyv	secchi	ecoli	sameus	ph	suolaisuus	happi_aste	happi	nh3	no3	ntot	po4_liu	ptot	chla	lampotila	jaan_paks	lumen_paks	syvyys	syvyys_lop	no2	po4	koliformit	fek_strep	kiintoain	pt	tic	alkalit
4	2012-01-01	1	1	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
4	2012-02-01	1	2	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
4	2012-03-08	8	3	2012	NA	0.4	410	21.4	7.24	0	95	13.74	46.0125	1700	2000	13.244	61.02	NA	0.2	NA	NA	0	0	8.345	24.9935	NA	NA	NA	NA	NA	NA
4	2012-04-01	1	4	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
4	2012-05-14	14	5	2012	NA	0.3	160	41	7.49	0.23	96	10.31	7.2135	920	1500	8.5	79	14.6	12.2	NA	NA	0	0	5.075	28.7	NA	NA	NA	NA	NA	NA
4	2012-06-11	11	6	2012	NA	0.6	0	13.9	7.91	0.95	114	11.05	2.711	1096	1966	4.09	70	29.1	16.5	NA	NA	0	0	6.88	8.18	NA	NA	NA	NA	NA	NA
4	2012-07-03	3	7	2012	NA	0.6	0	21.1	8.81	1.52	133	12.27	0	992	1951	3	76.465	70.6	18.8	NA	NA	0	0	8.125	5	NA	NA	NA	NA	NA	NA
4	2012-07-16	16	7	2012	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
4	2012-08-01	1	8	2012	NA	0.5	22	20.7	7.98	1.8	101	9.23	3.35	140	912	2.8	87.7	46.9	19.2	NA	NA	0	0	5.69	13.351	NA	NA	NA	NA	NA	NA
4	2012-09-03	3	9	2012	NA	0.4	190	31.5	7.56	0.83	93	9.12	34.497	600	1365	18	91.785	13.1	16.3	NA	NA	0	0	6.565	38	NA	NA	NA	NA	NA	NA
4	2012-10-03	3	10	2012	NA	0.2	99	108	7.32	0	95	10.39	8.3235	1160	2200	37	135.87	1.6	11.2	NA	NA	0	0	2.66	85.3625	NA	NA	NA	NA	NA	NA
4	2012-11-07	7	11	2012	NA	0.1	1200	140	7.26	0.01	93	12.38	30	980	2003	28	143.93	NA	3.4	NA	NA	0	0	5	94	NA	NA	NA	NA	NA	NA
4	2012-12-01	1	12	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
4	2012-01-01	1	1	2012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA
