asema	pvm	biomassa
4	2015-03-25	1.3598
4	2015-03-25	1.6932
4	2015-03-25	2.0794
4	2015-03-25	0.9965
4	2015-03-25	8.1702
4	2015-03-25	0.1437
4	2015-03-25	0.5226
4	2015-03-25	0.2262
4	2015-03-25	1.5307
4	2015-03-25	0.5109
4	2015-03-25	2.1124
4	2015-03-25	9.8013
4	2015-03-25	0.2233
4	2015-03-25	0.5205
4	2015-03-25	7.702
4	2015-03-25	2.8665
4	2015-03-25	0.613
4	2015-03-25	0.702
4	2015-03-25	1.0176
4	2015-03-25	1.12
4	2015-03-25	0.636
4	2015-03-25	0.549
4	2015-03-25	0.1073
4	2015-03-25	0.0878
4	2015-03-25	0.6895
4	2015-03-25	0.0431
4	2015-03-25	0.0584
4	2015-03-25	0.0075
4	2015-03-25	1.0341
4	2015-03-25	0.0292
4	2015-03-25	0.0468
4	2015-03-25	1.43
4	2015-03-25	39.2068
4	2015-03-25	1.3242
4	2015-03-25	10.4978
4	2015-03-25	0.1651
4	2015-03-25	0.6656
4	2015-03-25	0.0115
4	2015-04-27	1.6783
4	2015-04-27	41.5926
4	2015-04-27	2.9928
4	2015-04-27	29.4101
4	2015-04-27	11.4685
4	2015-04-27	4.539
4	2015-04-27	17.8798
4	2015-04-27	22.5899
4	2015-04-27	4.126
4	2015-04-27	3.7562
4	2015-04-27	1697.4139
4	2015-04-27	0.6827
4	2015-04-27	12.2937
4	2015-04-27	27.0363
4	2015-04-27	16.7299
4	2015-04-27	347.7182
4	2015-04-27	1258.0274
4	2015-04-27	371.7988
4	2015-04-27	27.6259
4	2015-04-27	0.4995
4	2015-04-27	0.1252
4	2015-04-27	7.0343
4	2015-04-27	9.4964
4	2015-04-27	3.1309
4	2015-04-27	1.2731
4	2015-04-27	0.1069
4	2015-04-27	0.2964
4	2015-04-27	0.4455
4	2015-04-27	0.3863
4	2015-04-27	3.8763
4	2015-04-27	4.997
4	2015-04-27	0.0852
4	2015-04-27	0.5677
4	2015-04-27	11.4286
4	2015-04-27	10.7353
4	2015-04-27	9.94
4	2015-04-27	37.3205
4	2015-04-27	1.5255
4	2015-05-19	0.6527
4	2015-05-19	1.2587
4	2015-05-19	2.8547
4	2015-05-19	2.5764
4	2015-05-19	15.8242
4	2015-05-19	21.2144
4	2015-05-19	14.4975
4	2015-05-19	0.9786
4	2015-05-19	9.0779
4	2015-05-19	5.5224
4	2015-05-19	22.5899
4	2015-05-19	15.0791
