asema	syvyys
3	2
4	2
5	3
6	5
10	6
11	8
15	7
22	13
23	8
24	1.5
25	4.5
26	4
27	1.5
28	10
29	11.5
30	13
36	32.5
38	28.5
39	39
44	22
54	14
55	20
57	28
61	8
62	10.5
63	10.5
68	15.5
71	13
75	7.5
76	13.5
78	19
81	4
83	6
85	1.5
87	4.5
90	4.5
92	6
97	4.5
103	10.5
107	17.5
110	7
113	6
114	45
117	3.5
118	12
119	8
120	13
122	41
123	27
131	1.5
140	3.5
155	30
156	28
160	0
161	0
162	0
166	48
171	2
173	3
174	0
176	0
177	0
178	3
179	2
181	14
187	10
188	3
189	6
201	16.5
202	25
281	5
341	12
361	26
391	56
392	34
393	44
1141	53
1142	29
1171	3
1221	57
1222	60
1251	32
1252	45
1253	0
1255	29
1259	29
1612	0
1616	11
1618	13.5
1621	23
1741	5.5
1742	9.5
1761	32.5
1762	22.5
1763	13
1764	34
1765	18.5
1771	27
1772	34
1773	33
1774	30
3001	0
3002	0
018P	16
111P	15
125P	28
147P	26
KL1	2.2
KL2	2.2
KL3	2.9
